index,Company,TypeName,Inches,ScreenResolution,resolution_width,resolution_height,touch_screen,cpu_brand,cpu_name,cpu_speed,Ram,type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price
55,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,AMD," Iris Plus Graphics 640",windows,2.13,40908
56,HP,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,4,SSD,128,0,Intel," Iris Plus Graphics 640",windows,1.91,23390
57,Asus,Notebook,15.6,1366x768,1366,768,0,Intel,"Core i5",2.3,4,SSD,256,0,Intel," Iris Plus Graphics 640",windows,2,31232
58,MSI,Gaming,17.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,HDD,256,2048,Nvidia," Iris Plus Graphics 640",windows,2.43,130483
59,Asus,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,4,SSD,256,0,Intel," Iris Plus Graphics 640",linux,2,22111
60,Dell,Notebook,17.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,HDD,256,2048,AMD," Iris Plus Graphics 640",windows,2.8,69211
61,Dell,Ultrabook,14,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.7,46833
62,Lenovo,Notebook,14,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",N/A,1.7,31915
63,Asus,Notebook,14,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.4,50136
64,HP,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.86,36763
65,Asus,Ultrabook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,SSD,512,0,Nvidia," Iris Plus Graphics 640",windows,1.8,105654
66,HP,Notebook,15.6,1366x768,1366,768,0,Intel,"Core i3",2.3,4,HDD,500,0,AMD," Iris Plus Graphics 640",windows,1.86,23373
67,HP,Notebook,14,1366x768,1366,768,0,Intel,"Celeron Dual",2.3,4,SSD,32,0,Intel," Iris Plus Graphics 640",windows,1.44,12201
68,Lenovo,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,4,HDD,1024,0,Intel," Iris Plus Graphics 640",windows,1.9,29251
69,Asus,Gaming,17.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,12,HDD,1024,0,Nvidia," Iris Plus Graphics 640",linux,3,50563
70,Microsoft,Ultrabook,13.5,"Touchscreen 2256x1504",2256,1504,1,Intel,"Core i5",2.3,4,SSD,128,0,Intel," Iris Plus Graphics 640",windows,1.252,58022
71,Dell,Ultrabook,13.3,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,64,SSD,256,0,AMD," Iris Plus Graphics 640",windows,1.4,50882
72,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,AMD," Iris Plus Graphics 640",windows,2.2,46354
73,MSI,Gaming,17.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,HDD,128,1024,Nvidia," Iris Plus Graphics 640",windows,2.7,58342
74,Acer,Notebook,14,1366x768,1366,768,0,Intel,"Core i3",2.3,8,HDD,1024,0,Intel," Iris Plus Graphics 640",windows,2.1,20726
75,Asus,Gaming,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,HDD,1024,0,Nvidia," Iris Plus Graphics 640",windows,2.2,50563
76,Lenovo,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,HDD,2048,0,Intel," Iris Plus Graphics 640",N/A,2.2,27652
77,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,HDD,128,1024,Intel," Iris Plus Graphics 640",windows,2.02,45554
78,Acer,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,4,HDD,1024,0,Nvidia," Iris Plus Graphics 640",windows,2.2,28238
79,HP,Notebook,17.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,HDD,128,1024,Nvidia," Iris Plus Graphics 640",windows,2.5,52055
80,Dell,Ultrabook,15.6,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.88,58403
81,Apple,Ultrabook,12,"IPS Panel Retina Display 2304x1440",2304,1440,0,Intel,"Core i5",2.3,8,SSD,512,0,Intel," Iris Plus Graphics 640",macos,0.92,80453
82,HP,Notebook,14,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.63,45821
83,Lenovo,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,AMD,"A6-Series 9220",2.3,4,SSD,128,0,AMD," Iris Plus Graphics 640",windows,2.2,21259
84,Acer,Notebook,15.6,1366x768,1366,768,0,AMD,"A9-Series 9420",2.3,4,HDD,1024,0,AMD," Iris Plus Graphics 640",windows,2.1,21046
85,Dell,Gaming,15.6,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,HDD,128,1024,Nvidia," Iris Plus Graphics 640",windows,2.65,71875
86,HP,Ultrabook,15.6,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,Nvidia," Iris Plus Graphics 640",windows,1.83,37243
87,HP,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.96,31914
88,Asus,Gaming,15.6,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,HDD,128,1024,Nvidia," Iris Plus Graphics 640",windows,2.2,77203
89,Dell,Ultrabook,13.3,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.21,87859
90,Asus,Gaming,15.6,"Full HD 1920x1080",1920,1080,0,AMD,"FX 9830P",2.3,8,HDD,1024,0,AMD," Iris Plus Graphics 640",windows,2.45,37243
91,Acer,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,2,HDD,1024,0,Nvidia," Iris Plus Graphics 640",windows,2.2,36710
92,HP,Notebook,13.3,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,16,SSD,512,0,Intel," Iris Plus Graphics 640",windows,1.49,63776
93,Dell,Gaming,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,SSD,256,0,Nvidia," Iris Plus Graphics 640",windows,2.65,63670
94,Asus,Ultrabook,14,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.25,55891
95,Acer,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080",1920,1080,1,Intel,"Core i5",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.5,45128
96,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,HDD,1024,0,AMD," Iris Plus Graphics 640",linux,2.2,31963
97,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,4,SSD,256,0,AMD," Iris Plus Graphics 640",linux,2.2,25841
98,Asus,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i3",2.3,6,SSD,256,0,Nvidia," Iris Plus Graphics 640",windows,2,30743
99,HP,Gaming,15.6,"IPS Panel Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,12,HDD,128,1024,Nvidia," Iris Plus Graphics 640",windows,2.62,66547
100,HP,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i7",2.3,8,SSD,256,0,AMD," Iris Plus Graphics 640",windows,1.91,38308
101,HP,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,AMD,"E-Series E2-9000e",2.3,4,HDD,500,0,AMD," Iris Plus Graphics 640",windows,2.1,18595
102,Dell,Notebook,15.6,"Full HD 1920x1080",1920,1080,0,Intel,"Core i5",2.3,8,HDD,1024,0,AMD," Iris Plus Graphics 640",linux,2.2,34472
